iter	Passed	Remaining
0	134	134602
1	135	67550
2	135	45187
3	136	34003
4	137	27291
5	137	22812
6	138	19616
7	138	17217
8	139	15350
9	139	13856
10	140	12634
11	141	11617
12	141	10755
13	142	10018
14	142	9378
15	143	8819
16	143	8325
17	144	7874
18	144	7482
19	145	7128
20	146	6808
21	146	6517
22	147	6251
23	147	6007
24	148	5782
25	148	5573
26	149	5379
27	149	5197
28	150	5029
29	150	4872
30	151	4725
31	151	4587
32	152	4457
33	152	4336
34	153	4221
35	153	4112
36	154	4009
37	154	3912
38	155	3820
39	155	3732
40	156	3649
41	156	3570
42	156	3490
43	157	3418
44	157	3349
45	158	3283
46	158	3220
47	159	3159
48	159	3101
49	160	3045
50	160	2992
51	161	2940
52	161	2891
53	162	2843
54	162	2796
55	163	2752
56	163	2709
57	164	2667
58	164	2627
59	165	2588
60	165	2551
61	166	2514
62	166	2479
63	167	2445
64	167	2412
65	168	2380
66	168	2349
67	169	2319
68	169	2289
69	170	2261
70	170	2233
71	171	2206
72	171	2179
73	172	2154
74	172	2129
75	173	2105
76	173	2080
77	173	2056
78	174	2034
79	175	2013
80	175	1991
81	176	1971
82	176	1951
83	177	1932
84	177	1913
85	178	1894
86	178	1875
87	179	1857
88	179	1839
89	180	1822
90	180	1805
91	181	1788
92	181	1772
93	182	1756
94	182	1740
95	183	1725
96	183	1710
97	184	1695
98	184	1680
99	185	1666
100	185	1652
101	185	1637
102	186	1624
103	187	1611
104	187	1598
105	188	1585
106	188	1573
107	189	1561
108	189	1549
109	190	1538
110	190	1526
111	191	1515
112	191	1504
113	192	1493
114	192	1482
115	193	1471
116	193	1461
117	194	1451
118	194	1439
119	194	1429
120	195	1419
121	195	1410
122	196	1400
123	196	1391
124	197	1382
125	197	1372
126	198	1363
127	198	1355
128	199	1346
129	199	1337
130	200	1329
131	200	1321
132	201	1312
133	201	1304
134	202	1297
135	202	1289
136	203	1281
137	203	1274
138	204	1266
139	204	1259
140	205	1251
141	205	1244
142	206	1237
143	206	1230
144	207	1223
145	207	1216
146	208	1209
147	208	1203
148	209	1196
149	209	1189
150	210	1183
151	210	1177
152	211	1170
153	211	1164
154	212	1158
155	212	1151
156	213	1145
157	213	1140
158	214	1134
159	214	1128
160	215	1122
161	215	1117
162	216	1111
163	216	1106
164	217	1100
165	217	1095
166	218	1089
167	219	1084
168	219	1079
169	220	1074
170	220	1069
171	221	1064
172	221	1059
173	222	1054
174	222	1049
175	223	1044
176	223	1039
177	224	1034
178	224	1030
179	225	1025
180	225	1020
181	226	1016
182	226	1011
183	227	1006
184	227	1002
185	228	998
186	228	993
187	229	989
188	229	985
189	230	980
